	V1	AVG
(Intercept)	-5.02788135997312	-5.02788135997312
Sabd	1.16208909495363	1.16208909495363
Sdiso	0.343602000660839	0.343602000660839
Scsl	-0.28540815810291	-0.28540815810291
Sphs	0.138828364191872	0.138828364191872
Spip	0.364633637751879	0.364633637751879
rna	2.92999856629265	2.92999856629265
SL	-0.262320239723828	-0.262320239723828
SG	-0.123319796493024	-0.123319796493024
Sabd:Sdiso	-0.00842078542737498	-0.00842078542737498
Sabd:Scsl	-0.00278353723277417	-0.00278353723277417
Sabd:Sphs	-0.11066653197166	-0.11066653197166
Sabd:Spip	-0.163912351918359	-0.163912351918359
Sabd:rna	-0.687780271717824	-0.687780271717824
Sabd:SL	-0.0038853282409709	-0.0038853282409709
Sabd:SG	0.145104484356486	0.145104484356486
