	V1	AVG	name
11756	4.216	4.216	Q92804
4052	4.2	4.2	P35637
4755	3.943	3.943	P51991
2681	3.827	3.827	P09651
5504	3.713	3.713	Q01844
3487	3.707	3.707	P22626
7029	3.64	3.64	Q32P51
5973	3.622	3.622	Q13151
15260	3.539	3.539	Q9NY12
6223	3.507	3.507	Q14011
5422	3.472	3.472	P98179
5241	3.442	3.442	P62937
3898	3.422	3.422	P31942
10656	3.418	3.418	Q8NDV7
4760	3.417	3.417	P52272
12209	3.401	3.401	Q96EP5
15763	3.392	3.392	Q9UGU0
13108	3.35	3.35	Q99729
11816	3.34	3.34	Q92945
12833	3.302	3.302	Q96QC0
13094	3.27	3.27	Q99700
6234	3.244	3.244	Q14103
3463	3.24	3.24	P22087
10738	3.23	3.23	Q8NEZ4
16290	3.216	3.216	Q9UPQ9
9362	3.177	3.177	Q86V81
12179	3.168	3.168	Q96E39
11966	3.149	3.149	Q96AE4
5262	3.14	3.14	P67809
4125	3.138	3.138	P38159
12986	3.125	3.125	Q96T58
14627	3.096	3.096	Q9HCJ0
16052	3.089	3.089	Q9UKY7
4032	3.074	3.074	P35527
3516	3.064	3.064	P23246
14131	3.054	3.054	Q9H2Y7
7336	3.05	3.05	Q5BKZ1
15675	3.049	3.049	Q9UBV8
6142	3.045	3.045	Q13595
10579	3.037	3.037	Q8NCA5
6263	3.033	3.033	Q14157
10571	3.031	3.031	Q8NC51
6520	3.03	3.03	Q15056
16504	3.024	3.024	Q9Y2T7
5245	3.019	3.019	P62995
16636	3.011	3.011	Q9Y4B5
7437	3.002	3.002	Q5JSZ5
3252	2.995	2.995	P17931
7650	2.991	2.991	Q5T6F2
16299	2.985	2.985	Q9UPT8
879	2.981	2.981	O14979
368	2.979	2.979	A7MD48
3157	2.976	2.976	P16403
5232	2.97	2.97	P62829
13424	2.968	2.968	Q9BUJ2
5726	2.962	2.962	Q07955
1210	2.947	2.947	O43670
3156	2.943	2.943	P16402
2656	2.934	2.934	P09234
3155	2.916	2.916	P16401
