	V1	AVG	name
11756	1.91045076882342	1.91045076882342	Q92804
4052	1.88774928423144	1.88774928423144	P35637
4755	1.47093266664423	1.47093266664423	P51991
2681	1.28054346054612	1.28054346054612	P09651
5504	1.10054341697523	1.10054341697523	Q01844
3487	1.0894833922886	1.0894833922886	P22626
7029	0.980302979738136	0.980302979738136	Q32P51
5973	0.949139924807963	0.949139924807963	Q13151
15260	0.813670339291326	0.813670339291326	Q9NY12
6223	0.763439236437729	0.763439236437729	Q14011
5422	0.709788270400585	0.709788270400585	P98179
5241	0.658962052964032	0.658962052964032	P62937
3898	0.628456866805175	0.628456866805175	P31942
10656	0.621748657258699	0.621748657258699	Q8NDV7
4760	0.613461601882669	0.613461601882669	P52272
12209	0.588062430298342	0.588062430298342	Q96EP5
15763	0.578874835422748	0.578874835422748	Q9UGU0
13108	0.514894976510547	0.514894976510547	Q99729
11816	0.494026079821571	0.494026079821571	Q92945
12833	0.435370650033852	0.435370650033852	Q96QC0
13094	0.376294991338239	0.376294991338239	Q99700
6234	0.338973277948864	0.338973277948864	Q14103
3463	0.333002285901711	0.333002285901711	P22087
10738	0.317341149223839	0.317341149223839	Q8NEZ4
16290	0.293038938261876	0.293038938261876	Q9UPQ9
9362	0.230752809521095	0.230752809521095	Q86V81
12179	0.214951402032124	0.214951402032124	Q96E39
11966	0.181596926518115	0.181596926518115	Q96AE4
5262	0.166974820618595	0.166974820618595	P67809
4125	0.165697165069622	0.165697165069622	P38159
12986	0.146046722124249	0.146046722124249	Q96T58
14627	0.100941161465719	0.100941161465719	Q9HCJ0
16052	0.0852249681419742	0.0852249681419742	Q9UKY7
4032	0.0656952028101629	0.0656952028101629	P35527
3516	0.0466050353397379	0.0466050353397379	P23246
14131	0.0321046531184799	0.0321046531184799	Q9H2Y7
7336	0.0245339889798889	0.0245339889798889	Q5BKZ1
15675	0.0226246411004257	0.0226246411004257	Q9UBV8
6142	0.0169317746894423	0.0169317746894423	Q13595
10579	0.00089303465950199	0.00089303465950199	Q8NCA5
6263	-0.00481065269225325	-0.00481065269225325	Q14157
10571	-0.0063149348169835	-0.0063149348169835	Q8NC51
6520	-0.00817847472378496	-0.00817847472378496	Q15056
16504	-0.0185228121143944	-0.0185228121143944	Q9Y2T7
5245	-0.0264462535834671	-0.0264462535834671	P62995
16636	-0.0422370530121604	-0.0422370530121604	Q9Y4B5
7437	-0.0503614706948899	-0.0503614706948899	Q5JSZ5
3252	-0.0675346873278156	-0.0675346873278156	P17931
7650	-0.0720068352458497	-0.0720068352458497	Q5T6F2
16299	-0.0817430414778984	-0.0817430414778984	Q9UPT8
879	-0.0841041836556003	-0.0841041836556003	O14979
368	-0.0881957650223075	-0.0881957650223075	A7MD48
3157	-0.0983703683720246	-0.0983703683720246	P16403
5232	-0.105792792355057	-0.105792792355057	P62829
13424	-0.109256160929514	-0.109256160929514	Q9BUJ2
5726	-0.120491586889508	-0.120491586889508	Q07955
1210	-0.142170100331893	-0.142170100331893	O43670
3156	-0.1510643449487	-0.1510643449487	P16402
2656	-0.163210085383926	-0.163210085383926	P09234
3155	-0.195091826219219	-0.195091826219219	P16401
2542	-0.208478479167564	-0.208478479167564	P07737
3181	-0.217349539833896	-0.217349539833896	P16989
3414	-0.225687780101036	-0.225687780101036	P21291
10628	-0.232755103198079	-0.232755103198079	Q8ND56
6607	-0.235749965336383	-0.235749965336383	Q15427
6807	-0.238284930690942	-0.238284930690942	Q16630
9163	-0.239001649138966	-0.239001649138966	Q7Z6E9
3520	-0.239493341815001	-0.239493341815001	P23284
11323	-0.244140497980826	-0.244140497980826	Q8TF01
3899	-0.246340339597536	-0.246340339597536	P31943
13859	-0.263034083205066	-0.263034083205066	Q9C0J8
5972	-0.26809460746057	-0.26809460746057	Q13148
1918	-0.271943629836148	-0.271943629836148	O95104
4963	-0.272572707072196	-0.272572707072196	P55795
3344	-0.276694410496872	-0.276694410496872	P20073
7778	-0.286780103008842	-0.286780103008842	Q5VT52
12782	-0.288944315723127	-0.288944315723127	Q96PK6
13055	-0.302273043172754	-0.302273043172754	Q99590
5267	-0.304274730271671	-0.304274730271671	P68104
11503	-0.307392342253948	-0.307392342253948	Q8WWM7
4464	-0.320568647179969	-0.320568647179969	P48634
6806	-0.320750071284404	-0.320750071284404	Q16629
2830	-0.32761079246813	-0.32761079246813	P10412
